element_type,osmid,name,geometry,latitude,longitude
node,4815669288,Pharmacie Ben Debbab صيدلية بن دباب,POINT (-4.9943906 34.0638765),34.0638765,-4.9943906
node,4815708754,Pharmacie Lwdaya صيدلية لوداية,POINT (-5.0120009 34.0697582),34.0697582,-5.0120009
node,4815722783,Pharmacie Arrajae صيدلية الرجاء,POINT (-5.047852 34.03271),34.03271,-5.047852
node,4816625221,Pharmacie Bouzoubaa صيدلية بوزوبع,POINT (-5.0270395 34.0206795),34.0206795,-5.0270395
node,4817715044,Pharmacie El Malhi صيدلية الملحي,POINT (-5.0245247 34.0356746),34.0356746,-5.0245247
node,4817730225,Pharmacie El Wardi صيدلية الوردي,POINT (-5.0329316 34.0551533),34.0551533,-5.0329316
node,4817763683,Pharmacie Al Mawada صيدلية المودة,POINT (-5.0165884 34.0067267),34.0067267,-5.0165884
node,4817810561,Pharmacie Sahb El Ward صيدلية سهب الورد,POINT (-4.9532305 34.0543407),34.0543407,-4.9532305
node,4817824057,Pharmacie Al Ghassani صيدلية الغساني,POINT (-4.9898563 34.0403695),34.0403695,-4.9898563
node,4817843397,Pharmacie L'IRIS صيدلية الاغيس,POINT (-4.9984577 34.0213738),34.0213738,-4.9984577
node,4817921284,Pharmacie Ziat صيدلية الزيات,POINT (-4.9769857 34.0576478),34.0576478,-4.9769857
node,4817966862,Pharmacie Saiss صيدلية سايس,POINT (-4.9969956 34.0326792),34.0326792,-4.9969956
node,4818028572,Pharmacie Nahid صيدلية ناهيد,POINT (-5.0083871 34.0633492),34.0633492,-5.0083871
node,4822485122,Pharmacie El Attar صيدلية العطار,POINT (-5.0172347 34.0420078),34.0420078,-5.0172347
node,4822797821,Pharmacie Amine صيدلية أمين,POINT (-4.972887 34.0584106),34.0584106,-4.972887
node,4823680821,Pharmacie Arssat Zitoun صيدلية عرصة الزيتون,POINT (-5.042749 33.9916405),33.9916405,-5.042749
node,4823696521,Pharmacie Saidi صيدلية سعيدي,POINT (-5.0401468 33.9942988),33.9942988,-5.0401468
node,4825502723,Pharmacie Niama صيدلية نعمة,POINT (-5.0480324 33.9977066),33.9977066,-5.0480324
node,4826191124,Pharmacie El Mouahidine صيدلية الموحدين,POINT (-5.0123896 34.0427102),34.0427102,-5.0123896
node,4830547721,Pharmacie la Bonté صيدلية الطيبة,POINT (-5.0268101 34.0337314),34.0337314,-5.0268101
node,4830823521,Pharmacie Chifae صيدلية الشفاء,POINT (-5.0087851 34.0404482),34.0404482,-5.0087851
node,4832498324,Pharmacie des FAR صيدلية الجيش الملكي,POINT (-5.0166336 34.0407699),34.0407699,-5.0166336
